issue_id,issue_name,when,action,what,user,milestone_id,milestone,description,milestone_user,ctime,dtime,closetime,status
17,Mile stone wrapping up (due 27FEB),2017-01-31T02:35:41Z,milestoned,,user1,2,FEB Milestone,"+ Propose 3 different ways to solve X
+ Code demos showing the 3 solutions
+ Materials required for user eval sessions.",genterist,2017-01-20T15:25:23Z,2017-02-28T08:00:00Z,,open
17,Mile stone wrapping up (due 27FEB),2017-01-31T02:35:41Z,milestoned,,user1,2,FEB Milestone,"+ Propose 3 different ways to solve X
+ Code demos showing the 3 solutions
+ Materials required for user eval sessions.",genterist,2017-01-20T15:25:23Z,2017-02-28T08:00:00Z,,open
17,Mile stone wrapping up (due 27FEB),2017-03-14T03:17:52Z,closed,,user1,2,FEB Milestone,"+ Propose 3 different ways to solve X
+ Code demos showing the 3 solutions
+ Materials required for user eval sessions.",genterist,2017-01-20T15:25:23Z,2017-02-28T08:00:00Z,,open
13,Announcements - FEB milestone,2017-01-31T02:08:02Z,assigned,,user1,2,FEB Milestone,"+ Propose 3 different ways to solve X
+ Code demos showing the 3 solutions
+ Materials required for user eval sessions.",genterist,2017-01-20T15:25:23Z,2017-02-28T08:00:00Z,,open
13,Announcements - FEB milestone,2017-01-31T02:08:02Z,assigned,,user4,2,FEB Milestone,"+ Propose 3 different ways to solve X
+ Code demos showing the 3 solutions
+ Materials required for user eval sessions.",genterist,2017-01-20T15:25:23Z,2017-02-28T08:00:00Z,,open
13,Announcements - FEB milestone,2017-01-31T02:08:02Z,assigned,,user3,2,FEB Milestone,"+ Propose 3 different ways to solve X
+ Code demos showing the 3 solutions
+ Materials required for user eval sessions.",genterist,2017-01-20T15:25:23Z,2017-02-28T08:00:00Z,,open
13,Announcements - FEB milestone,2017-01-31T02:08:02Z,assigned,,user5,2,FEB Milestone,"+ Propose 3 different ways to solve X
+ Code demos showing the 3 solutions
+ Materials required for user eval sessions.",genterist,2017-01-20T15:25:23Z,2017-02-28T08:00:00Z,,open
13,Announcements - FEB milestone,2017-01-31T02:08:02Z,assigned,,user2,2,FEB Milestone,"+ Propose 3 different ways to solve X
+ Code demos showing the 3 solutions
+ Materials required for user eval sessions.",genterist,2017-01-20T15:25:23Z,2017-02-28T08:00:00Z,,open
13,Announcements - FEB milestone,2017-01-31T02:35:41Z,milestoned,,user1,2,FEB Milestone,"+ Propose 3 different ways to solve X
+ Code demos showing the 3 solutions
+ Materials required for user eval sessions.",genterist,2017-01-20T15:25:23Z,2017-02-28T08:00:00Z,,open
13,Announcements - FEB milestone,2017-01-31T02:35:41Z,milestoned,,user1,2,FEB Milestone,"+ Propose 3 different ways to solve X
+ Code demos showing the 3 solutions
+ Materials required for user eval sessions.",genterist,2017-01-20T15:25:23Z,2017-02-28T08:00:00Z,,open
13,Announcements - FEB milestone,2017-02-11T19:02:03Z,mentioned,,user2,2,FEB Milestone,"+ Propose 3 different ways to solve X
+ Code demos showing the 3 solutions
+ Materials required for user eval sessions.",genterist,2017-01-20T15:25:23Z,2017-02-28T08:00:00Z,,open
13,Announcements - FEB milestone,2017-02-11T19:02:03Z,subscribed,,user2,2,FEB Milestone,"+ Propose 3 different ways to solve X
+ Code demos showing the 3 solutions
+ Materials required for user eval sessions.",genterist,2017-01-20T15:25:23Z,2017-02-28T08:00:00Z,,open
13,Announcements - FEB milestone,2017-02-11T19:02:03Z,subscribed,,user3,2,FEB Milestone,"+ Propose 3 different ways to solve X
+ Code demos showing the 3 solutions
+ Materials required for user eval sessions.",genterist,2017-01-20T15:25:23Z,2017-02-28T08:00:00Z,,open
13,Announcements - FEB milestone,2017-02-11T19:02:03Z,mentioned,,user3,2,FEB Milestone,"+ Propose 3 different ways to solve X
+ Code demos showing the 3 solutions
+ Materials required for user eval sessions.",genterist,2017-01-20T15:25:23Z,2017-02-28T08:00:00Z,,open
13,Announcements - FEB milestone,2017-03-14T03:17:52Z,closed,,user1,2,FEB Milestone,"+ Propose 3 different ways to solve X
+ Code demos showing the 3 solutions
+ Materials required for user eval sessions.",genterist,2017-01-20T15:25:23Z,2017-02-28T08:00:00Z,,open
